date,cases
23-Apr-14,2
24-Apr-14,1
25-Apr-14,0
26-Apr-14,0
27-Apr-14,0
28-Apr-14,1
29-Apr-14,1
30-Apr-14,0
1-May-14,1
2-May-14,0
3-May-14,0
4-May-14,0
5-May-14,0
6-May-14,0
7-May-14,0
8-May-14,0
9-May-14,0
10-May-14,1
11-May-14,0
12-May-14,3
13-May-14,14
14-May-14,14
15-May-14,27
16-May-14,42
17-May-14,62
18-May-14,47
19-May-14,80
20-May-14,71
21-May-14,54
22-May-14,44
23-May-14,46
24-May-14,45
25-May-14,92
26-May-14,116
27-May-14,66
28-May-14,97
29-May-14,90
30-May-14,50
31-May-14,37
1-Jun-14,64
2-Jun-14,56
3-Jun-14,43
4-Jun-14,60
5-Jun-14,41
6-Jun-14,44
7-Jun-14,46
8-Jun-14,45
9-Jun-14,28
10-Jun-14,22
11-Jun-14,29
12-Jun-14,23
13-Jun-14,22
14-Jun-14,30
15-Jun-14,15
16-Jun-14,26
17-Jun-14,15
18-Jun-14,30
19-Jun-14,19
20-Jun-14,13
21-Jun-14,22
22-Jun-14,18
23-Jun-14,18
24-Jun-14,9
25-Jun-14,11
26-Jun-14,14
27-Jun-14,12
28-Jun-14,8
29-Jun-14,9
30-Jun-14,14
1-Jul-14,4
2-Jul-14,9
3-Jul-14,7
4-Jul-14,14
5-Jul-14,13
6-Jul-14,3
7-Jul-14,12
8-Jul-14,13
9-Jul-14,8
10-Jul-14,4
11-Jul-14,7
12-Jul-14,6
13-Jul-14,7
14-Jul-14,7
15-Jul-14,10
16-Jul-14,6
17-Jul-14,13
18-Jul-14,10
19-Jul-14,5
20-Jul-14,4
21-Jul-14,12
22-Jul-14,10
23-Jul-14,3
24-Jul-14,15
25-Jul-14,5
26-Jul-14,1
27-Jul-14,5
28-Jul-14,5
29-Jul-14,6
30-Jul-14,4
31-Jul-14,2
1-Aug-14,2
2-Aug-14,4
3-Aug-14,2
4-Aug-14,1
5-Aug-14,2
6-Aug-14,4
7-Aug-14,3
8-Aug-14,1
9-Aug-14,1
10-Aug-14,1
11-Aug-14,1
12-Aug-14,4
13-Aug-14,1
14-Aug-14,1
15-Aug-14,0
16-Aug-14,2
17-Aug-14,1
18-Aug-14,3
19-Aug-14,0
20-Aug-14,0
21-Aug-14,3
22-Aug-14,1
23-Aug-14,0
24-Aug-14,1
25-Aug-14,1
26-Aug-14,0
27-Aug-14,5
28-Aug-14,1
29-Aug-14,1
30-Aug-14,4
31-Aug-14,0
1-Sep-14,1
2-Sep-14,1
3-Sep-14,3
4-Sep-14,2
5-Sep-14,2
6-Sep-14,0
7-Sep-14,3
8-Sep-14,0
9-Sep-14,0
10-Sep-14,1
11-Sep-14,1
12-Sep-14,3
13-Sep-14,0
14-Sep-14,0
15-Sep-14,0
16-Sep-14,0
17-Sep-14,0
18-Sep-14,1
19-Sep-14,1
20-Sep-14,1
21-Sep-14,1
22-Sep-14,0
23-Sep-14,1
24-Sep-14,1
25-Sep-14,0
26-Sep-14,0
27-Sep-14,0
28-Sep-14,0
29-Sep-14,0
30-Sep-14,0
1-Oct-14,0
2-Oct-14,0
3-Oct-14,0
4-Oct-14,0
5-Oct-14,0
6-Oct-14,0
7-Oct-14,0
8-Oct-14,0
9-Oct-14,3
10-Oct-14,2
11-Oct-14,1
12-Oct-14,2
13-Oct-14,0
14-Oct-14,1
15-Oct-14,1
16-Oct-14,1
17-Oct-14,0
18-Oct-14,0
19-Oct-14,0
20-Oct-14,1
21-Oct-14,1
22-Oct-14,0
23-Oct-14,0
24-Oct-14,0
25-Oct-14,0
26-Oct-14,0
27-Oct-14,0
28-Oct-14,0
29-Oct-14,0
30-Oct-14,0
31-Oct-14,0
16-May-15,0
17-May-15,0
18-May-15,1
19-May-15,0
20-May-15,2
21-May-15,0
22-May-15,0
23-May-15,1
24-May-15,0
25-May-15,0
26-May-15,0
27-May-15,0
28-May-15,2
29-May-15,0
30-May-15,0
31-May-15,0
1-Jun-15,0
2-Jun-15,0
3-Jun-15,2
4-Jun-15,0
5-Jun-15,0
6-Jun-15,3
7-Jun-15,2
8-Jun-15,4
9-Jun-15,5
10-Jun-15,6
11-Jun-15,5
12-Jun-15,10
13-Jun-15,15
14-Jun-15,13
15-Jun-15,8
16-Jun-15,10
17-Jun-15,17
18-Jun-15,18
19-Jun-15,22
20-Jun-15,26
21-Jun-15,24
22-Jun-15,11
23-Jun-15,18
24-Jun-15,38
25-Jun-15,33
26-Jun-15,53
27-Jun-15,32
28-Jun-15,56
29-Jun-15,43
30-Jun-15,40
1-Jul-15,34
2-Jul-15,40
3-Jul-15,24
4-Jul-15,25
5-Jul-15,25
6-Jul-15,23
7-Jul-15,31
8-Jul-15,23
9-Jul-15,16
10-Jul-15,13
11-Jul-15,29
12-Jul-15,43
13-Jul-15,19
14-Jul-15,25
15-Jul-15,29
16-Jul-15,40
17-Jul-15,26
18-Jul-15,14
19-Jul-15,66
20-Jul-15,29
21-Jul-15,26
22-Jul-15,23
23-Jul-15,20
24-Jul-15,16
25-Jul-15,11
26-Jul-15,20
27-Jul-15,24
28-Jul-15,9
29-Jul-15,15
30-Jul-15,8
31-Jul-15,13
1-Aug-15,11
2-Aug-15,16
3-Aug-15,22
4-Aug-15,7
5-Aug-15,8
6-Aug-15,12
7-Aug-15,10
8-Aug-15,10
9-Aug-15,8
10-Aug-15,12
