date,rain
1-Jan-14,0.0252
2-Jan-14,0
3-Jan-14,0
4-Jan-14,0
5-Jan-14,0
6-Jan-14,0
7-Jan-14,0
8-Jan-14,0
9-Jan-14,0
10-Jan-14,0
11-Jan-14,0
12-Jan-14,0
13-Jan-14,0
14-Jan-14,0
15-Jan-14,0
16-Jan-14,0
17-Jan-14,0
18-Jan-14,0
19-Jan-14,0
20-Jan-14,0
21-Jan-14,0
22-Jan-14,0
23-Jan-14,0
24-Jan-14,0.0689
25-Jan-14,0
26-Jan-14,0
27-Jan-14,0.1982
28-Jan-14,0.0805
29-Jan-14,0.1141
30-Jan-14,0
31-Jan-14,0
1-Feb-14,0.8913
2-Feb-14,0.371
3-Feb-14,0.2872
4-Feb-14,0.0205
5-Feb-14,0.0523
6-Feb-14,0
7-Feb-14,0
8-Feb-14,0
9-Feb-14,0.1348
10-Feb-14,0
11-Feb-14,0.2619
12-Feb-14,0.0514
13-Feb-14,0.0823
14-Feb-14,0
15-Feb-14,0
16-Feb-14,0
17-Feb-14,0
18-Feb-14,0
19-Feb-14,0
20-Feb-14,0
21-Feb-14,0
22-Feb-14,0
23-Feb-14,0
24-Feb-14,0.5507
25-Feb-14,0.4143
26-Feb-14,0.0038
27-Feb-14,0.8096
28-Feb-14,0.1094
1-Mar-14,0.0148
2-Mar-14,0.2437
3-Mar-14,1.1346
4-Mar-14,1.0417
5-Mar-14,0.0924
6-Mar-14,0.1918
7-Mar-14,1.9129
8-Mar-14,0.4847
9-Mar-14,0.9474
10-Mar-14,3.2933
11-Mar-14,3.7879
12-Mar-14,1.8684
13-Mar-14,2.6123
14-Mar-14,0.975
15-Mar-14,0.0261
16-Mar-14,0.4648
17-Mar-14,0.0265
18-Mar-14,0.006
19-Mar-14,0.0218
20-Mar-14,0
21-Mar-14,0.0851
22-Mar-14,0.1677
23-Mar-14,0.4794
24-Mar-14,1.6723
25-Mar-14,0.0646
26-Mar-14,0.2841
27-Mar-14,0.1033
28-Mar-14,1.5326
29-Mar-14,0.1481
30-Mar-14,0.0626
31-Mar-14,1.0412
1-Apr-14,1.5347
2-Apr-14,3.9374
3-Apr-14,4.0243
4-Apr-14,2.3517
5-Apr-14,2.7116
6-Apr-14,3.1391
7-Apr-14,0.2376
8-Apr-14,0.4963
9-Apr-14,2.4453
10-Apr-14,5.1199
11-Apr-14,0.2218
12-Apr-14,3.2465
13-Apr-14,4.4757
14-Apr-14,5.733
15-Apr-14,1.8255
16-Apr-14,3.5328
17-Apr-14,6.815
18-Apr-14,4.1612
19-Apr-14,10.3021
20-Apr-14,3.823
21-Apr-14,4.1117
22-Apr-14,1.6008
23-Apr-14,1.5012
24-Apr-14,6.6451
25-Apr-14,0.9721
26-Apr-14,0.5362
27-Apr-14,10.8436
28-Apr-14,8.1639
29-Apr-14,0.204
30-Apr-14,7.3543
1-May-14,6.1844
2-May-14,12.2109
3-May-14,0.3185
4-May-14,5.2221
5-May-14,4.694
6-May-14,1.0993
7-May-14,32.4471
8-May-14,5.8727
9-May-14,2.2507
10-May-14,2.0157
11-May-14,24.1356
12-May-14,4.378
13-May-14,0.6341
14-May-14,1.2269
15-May-14,4.5688
16-May-14,1.319
17-May-14,0.932
18-May-14,0.2815
19-May-14,0.2832
20-May-14,2.4243
21-May-14,2.7014
22-May-14,15.0546
23-May-14,7.4014
24-May-14,2.3052
25-May-14,8.1885
26-May-14,1.0025
27-May-14,4.9154
28-May-14,0.6276
29-May-14,2.8105
30-May-14,22.6559
31-May-14,2.1673
1-Jun-14,5.9287
2-Jun-14,0.4857
3-Jun-14,2.2286
4-Jun-14,3.3562
5-Jun-14,1.0524
6-Jun-14,0.7389
7-Jun-14,1.7508
8-Jun-14,4.4511
9-Jun-14,6.2646
10-Jun-14,1.1689
11-Jun-14,0.6366
12-Jun-14,8.3773
13-Jun-14,12.6773
14-Jun-14,3.4042
15-Jun-14,9.8447
16-Jun-14,14.4643
17-Jun-14,0.5734
18-Jun-14,0.6506
19-Jun-14,12.5156
20-Jun-14,1.1294
21-Jun-14,1.2636
22-Jun-14,7.6692
23-Jun-14,0.7536
24-Jun-14,1.1913
25-Jun-14,10.4585
26-Jun-14,7.9695
27-Jun-14,1.2893
28-Jun-14,0.5766
29-Jun-14,3.2007
30-Jun-14,3.3324
1-Jul-14,0.3876
2-Jul-14,1.0823
3-Jul-14,1.0748
4-Jul-14,27.1296
5-Jul-14,5.3266
6-Jul-14,20.4343
7-Jul-14,2.112
8-Jul-14,0.0971
9-Jul-14,3.6084
10-Jul-14,11.1839
11-Jul-14,0.494
12-Jul-14,0.1808
13-Jul-14,3.721
14-Jul-14,7.5239
15-Jul-14,1.5734
16-Jul-14,8.0918
17-Jul-14,3.1834
18-Jul-14,0.4562
19-Jul-14,9.1638
20-Jul-14,5.8602
21-Jul-14,2.128
22-Jul-14,6.6401
23-Jul-14,5.1032
24-Jul-14,2.2813
25-Jul-14,11.2554
26-Jul-14,4.7876
27-Jul-14,2.8083
28-Jul-14,2.5723
29-Jul-14,3.777
30-Jul-14,8.2558
31-Jul-14,8.1581
1-Aug-14,1.4186
2-Aug-14,5.2298
3-Aug-14,8.7348
4-Aug-14,2.4438
5-Aug-14,10.8959
6-Aug-14,0.1546
7-Aug-14,2.2539
8-Aug-14,6.0614
9-Aug-14,6.5672
10-Aug-14,6.1366
11-Aug-14,2.0397
12-Aug-14,2.4715
13-Aug-14,33.2493
14-Aug-14,1.8245
15-Aug-14,6.8861
16-Aug-14,0.9384
17-Aug-14,3.6027
18-Aug-14,5.4581
19-Aug-14,13.3236
20-Aug-14,0.932
21-Aug-14,3.9045
22-Aug-14,13.7992
23-Aug-14,0.9296
24-Aug-14,1.0455
25-Aug-14,8.9042
26-Aug-14,0.8788
27-Aug-14,1.2608
28-Aug-14,10.9569
29-Aug-14,3.6414
30-Aug-14,3.4694
31-Aug-14,3.2954
1-Sep-14,2.5883
2-Sep-14,13.4775
3-Sep-14,1.3919
4-Sep-14,0.6611
5-Sep-14,11.8821
6-Sep-14,0.8121
7-Sep-14,7.1603
8-Sep-14,1.4247
9-Sep-14,12.125
10-Sep-14,1.6118
